id_karta_platnicza,numer_karty_platniczej,data_waznosci_karty,CVC
929,9738399750079501,03/22,207
930,8461033434904601,10/21,922
931,9488239218719894,01/22,546
932,1484919923524419,08/21,347
933,0169388098992407,10/22,360
934,5644567192511813,03/23,549
935,0738826719126473,11/21,950
936,1969051663477984,05/22,339
937,6253972199662682,05/21,323
938,7289943320314586,09/21,210
939,1684883556139311,02/23,298
940,1174404719396413,04/23,415
941,5119766805227438,02/22,281
942,8323132538941303,08/22,560
943,0016922240679852,01/23,194
944,8341870812225726,09/22,943
945,9611862541493587,08/21,980
946,0670592818535421,10/21,700
947,4926567961459465,10/21,247
948,6109927553084624,04/23,982
949,8965837396752913,11/21,112
950,1329872957681561,02/22,329
951,2959356008022035,03/23,338
952,2405362944515845,03/23,464
953,4890998910056280,07/21,387
954,3496340955700149,09/21,142
955,5893814870051485,01/23,429
956,4985830541780748,06/22,770
957,8692463515900359,11/21,237
958,0851492183822608,12/21,572
959,3317932933393491,07/22,106
960,1594687519128662,10/21,834
961,3215158441943958,09/22,919
962,0577097225887619,11/21,844
963,7136677521489385,09/21,215
964,5602828706426297,11/22,613
965,5333854334610776,07/21,872
966,0518224641848402,12/21,805
967,4039474094861776,02/22,855
968,5800551300802553,02/23,948
969,4768853624391250,09/21,351
970,5587888690244281,05/21,900
971,7940675066216572,11/21,424
972,5023714058240110,02/22,675
973,2738705921504854,06/21,179
974,9223372612733450,09/21,803
975,4789701205160252,06/21,497
976,9611234077437274,07/21,132
977,6207412672835321,07/22,558
978,4488466893168120,05/22,291
979,0532205031363907,07/21,807
980,9135038197228424,04/22,847
981,5691622095992794,11/22,246
982,4443640869393249,12/21,211
983,5648733736420664,04/22,211
984,0051920313563719,05/21,217
985,0643370800565676,08/21,288
986,8648052615334431,11/21,928
987,7577478943610896,06/21,343
988,7789394639071056,04/22,747
989,3141185796682860,05/21,735
990,5360900071038760,08/22,300
991,7103899482342005,11/22,800
992,0581562691451632,07/22,730
993,6165657090105810,09/22,739
994,2635226788310072,09/21,781
995,3831821937848565,07/21,929
996,1818596816989617,06/22,992
997,3624662500165083,03/22,336
998,6822739628346373,12/21,686
999,1024624890883142,11/21,455
1000,7977696033317027,04/23,373

